"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-16.5622,-18.0817,-6.61879,-6.84163,-19.4649,-18.6324,-9.95314,-9.76483,-16.5622,-6.61879
0,-22.7134,-28.6667,1.82918,-6.37322,-20.0414,-19.987,-15.5034,-15.8697,-20.0414,1.82918
0,-13.611,-15.7361,-13.3946,-15.0612,-17.1314,-17.6051,-11.155,-10.8136,-13.611,-11.155
0,-18.2159,-18.0706,-13.9215,-13.7486,-20.3593,-20.1212,-13.575,-13.356,-18.2159,-13.575
0,-27.4039,-33.4085,-25.612,-25.0819,-10.1984,-14.6665,-14.9736,-13.6126,-10.1984,-14.9736
0,-11.7793,-11.7793,-9.71055,-9.71055,-16.9704,-16.9704,-10.2157,-10.2157,-11.7793,-9.71055
0,-13.5591,-13.4178,59.7166,60.197,-14.7592,-15.2736,-13.6128,-13.6855,-13.5591,59.7166
0,-14.8459,-17.3603,-11.3383,-12.7581,-15.6089,-15.7467,-9.12939,-10.258,-14.8459,-9.12939
0,-19.303,-18.5229,-11.9743,-11.6476,-17.4687,-18.0751,-6.50806,-6.3257,-17.4687,-6.50806
0,-19.117,-20.3294,-10.8758,-11.831,-16.2314,-16.3435,-9.07792,-8.53874,-16.2314,-9.07792
0,-10.5073,-12.7461,-1.63556,-4.69759,-12.7273,-10.5652,-4.68382,-2.9153,-10.5073,-1.63556
0,-3.01729,0.0794299,121.368,108.156,-18.6384,-14.8611,-14.0922,-10.025,-3.01729,121.368
0,-26.1023,-26.1023,-24.2851,-24.2851,-21.6763,-21.8401,-10.1564,-10.1564,-21.6763,-10.1564
0,-24.2188,-24.1563,-19.995,-19.9488,-19.3863,-19.3234,-11.6665,-11.8561,-19.3863,-11.6665
0,-19.1429,-22.2846,-8.41568,-11.4509,-20.5569,-23.6606,-5.27599,-7.63038,-19.1429,-5.27599
0,-23.9502,-24.4365,-15.3501,-16.0936,-13.5844,-14.9978,-9.2938,-9.94826,-13.5844,-9.2938
0,-11.5908,-16.6585,-5.22562,-2.5884,-17.0156,-17.0384,-7.30735,-6.18028,-11.5908,-5.22562
0,-17.6494,-18.4899,-16.823,-17.6055,-20.5318,-22.5339,-13.5912,-13.6069,-17.6494,-13.5912
0,-22.6179,-22.7061,-8.14744,-9.97477,-18.3753,-19.07,-12.1307,-12.2325,-18.3753,-8.14744
0,-20.1708,-20.4107,-12.3123,-12.3164,-15.928,-16.1783,-7.7082,-7.71476,-15.928,-7.7082
0,-15.6632,-15.6716,-4.732,-4.89704,-17.4741,-17.6277,-12.2178,-12.4337,-15.6632,-4.732
0,-0.483896,-1.95234,-9.86402,-8.92613,-17.5228,-22.7296,-12.0698,-11.9593,-0.483896,-9.86402
0,-18.3054,-19.9346,-12.7539,-12.243,-21.347,-29.0965,-16.6713,-16.3043,-18.3054,-12.7539
0,-16.1119,-10.4898,-16.1343,-11.1212,-25.5377,-18.7264,-15.0993,-9.78896,-16.1119,-15.0993
0,-21.2074,-21.4333,-10.6086,-11.0262,-19.3189,-19.8538,-10.7346,-10.8188,-19.3189,-10.6086
0,-26.6506,-25.4986,-15.4629,-15.7058,-15.0539,-15.2764,-7.50383,-7.05642,-15.0539,-7.50383
0,-24.5647,-24.8948,-12.1796,-12.2223,-16.9519,-16.959,-7.36666,-7.26554,-16.9519,-7.36666
0,-23.6908,-22.3133,-8.52344,-11.1849,-21.1375,-20.1777,-14.6741,-13.2786,-21.1375,-8.52344
0,-18.0237,-17.976,-13.2195,-12.7195,-28.1546,-28.2877,-12.4438,-11.1438,-18.0237,-12.4438
0,-13.2562,-11.0343,-17.2822,-15.0491,-27.254,-24.9432,-20.5884,-16.9813,-13.2562,-17.2822
0,-6.99255,-14.5825,-1.88594,-4.76547,-12.0454,-11.7457,-6.1935,-7.72601,-6.99255,-1.88594
0,-17.8954,-14.8852,-17.2921,-15.5136,-28.2379,-26.7097,-15.4157,-13.0059,-17.8954,-15.4157
0,5.2167,1.71296,-14.3486,-17.4706,-18.1079,-19.6379,-7.83351,-9.18106,5.2167,-7.83351
0,-29.9013,-32.308,-13.6051,-14.6237,-17.5489,-18.7005,-6.62726,-8.82285,-17.5489,-6.62726
0,-30.2575,-32.3269,-15.8565,-17.4708,-16.1984,-16.8237,-12.0438,-12.4919,-16.1984,-12.0438
